/home/cc/dagonstar/venv/lib/python3.12/site-packages/paramiko/pkey.py:82: CryptographyDeprecationWarning: TripleDES has been moved to cryptography.hazmat.decrepit.ciphers.algorithms.TripleDES and will be removed from cryptography.hazmat.primitives.ciphers.algorithms in 48.0.0.
  "cipher": algorithms.TripleDES,
/home/cc/dagonstar/venv/lib/python3.12/site-packages/paramiko/transport.py:253: CryptographyDeprecationWarning: TripleDES has been moved to cryptography.hazmat.decrepit.ciphers.algorithms.TripleDES and will be removed from cryptography.hazmat.primitives.ciphers.algorithms in 48.0.0.
  "class": algorithms.TripleDES,
2025-08-05 21:14:32,289 root         DEBUG    edge_16_10_01: Status.RUNNING
2025-08-05 21:14:32,291 root         DEBUG    edge_24_08_01: Status.WAITING
2025-08-05 21:14:32,292 root         DEBUG    edge_24_09_01: Status.WAITING
2025-08-05 21:14:32,292 root         DEBUG    edge_16_11_01: Status.RUNNING
2025-08-05 21:14:32,292 root         DEBUG    edge_24_10_01: Status.WAITING
2025-08-05 21:14:32,292 root         DEBUG    edge_17_01_01: Status.RUNNING
2025-08-05 21:14:32,293 root         DEBUG    edge_24_11_01: Status.WAITING
2025-08-05 21:14:32,293 root         DEBUG    edge_11_04_01: Executing...
2025-08-05 21:14:32,294 root         DEBUG    edge_27_01_01: Status.WAITING
2025-08-05 21:14:32,294 root         DEBUG    edge_17_02_01: Status.RUNNING
2025-08-05 21:14:32,295 root         DEBUG    edge_27_02_01: Status.WAITING
2025-08-05 21:14:32,295 root         DEBUG    edge_17_03_01: Status.RUNNING
2025-08-05 21:14:32,295 root         DEBUG    edge_27_03_01: Status.WAITING
2025-08-05 21:14:32,295 root         DEBUG    edge_11_05_01: Executing...
2025-08-05 21:14:32,296 root         DEBUG    edge_27_04_01: Status.WAITING
2025-08-05 21:14:32,296 root         DEBUG    edge_17_04_01: Status.RUNNING
2025-08-05 21:14:32,296 root         DEBUG    edge_27_05_01: Status.WAITING
2025-08-05 21:14:32,297 root         DEBUG    edge_17_05_01: Status.RUNNING
2025-08-05 21:14:32,297 root         DEBUG    edge_27_06_01: Status.WAITING
2025-08-05 21:14:32,299 root         DEBUG    edge_27_07_01: Status.WAITING
2025-08-05 21:14:32,301 root         DEBUG    edge_11_06_01: Executing...
2025-08-05 21:14:32,302 root         DEBUG    edge_27_08_01: Status.WAITING
2025-08-05 21:14:32,305 root         DEBUG    edge_17_06_01: Status.RUNNING
2025-08-05 21:14:32,307 root         DEBUG    edge_27_09_01: Status.WAITING
2025-08-05 21:14:32,309 root         DEBUG    edge_27_10_01: Status.WAITING
2025-08-05 21:14:32,311 root         DEBUG    edge_17_07_01: Status.RUNNING
2025-08-05 21:14:32,312 root         DEBUG    edge_27_11_01: Status.WAITING
2025-08-05 21:14:32,313 root         DEBUG    edge_35_01_01: Status.WAITING
