/home/cc/dagonstar/venv/lib/python3.12/site-packages/paramiko/pkey.py:82: CryptographyDeprecationWarning: TripleDES has been moved to cryptography.hazmat.decrepit.ciphers.algorithms.TripleDES and will be removed from cryptography.hazmat.primitives.ciphers.algorithms in 48.0.0.
  "cipher": algorithms.TripleDES,
2025-08-05 21:09:52,191 root         DEBUG    edge_36_07_01: Status.RUNNING
2025-08-05 21:09:52,192 root         DEBUG    edge_18_04_01: Executing...
2025-08-05 21:09:52,192 root         DEBUG    edge_36_08_01: Status.RUNNING
2025-08-05 21:09:52,192 root         DEBUG    edge_18_05_01: Executing...
2025-08-05 21:09:52,192 root         DEBUG    edge_36_09_01: Status.RUNNING
2025-08-05 21:09:52,193 root         DEBUG    edge_36_10_01: Status.RUNNING
2025-08-05 21:09:52,193 root         DEBUG    edge_18_06_01: Executing...
2025-08-05 21:09:52,193 root         DEBUG    edge_36_11_01: Status.RUNNING
2025-08-05 21:09:52,194 root         DEBUG    edge_18_07_01: Executing...
2025-08-05 21:09:52,194 root         DEBUG    edge_18_08_01: Executing...
2025-08-05 21:09:52,195 root         DEBUG    edge_18_09_01: Executing...
2025-08-05 21:09:52,197 root         DEBUG    edge_18_10_01: Executing...
2025-08-05 21:09:52,198 root         DEBUG    edge_11_09_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192114-edge_11_09_01
2025-08-05 21:09:52,200 root         DEBUG    edge_18_11_01: Executing...
2025-08-05 21:09:52,200 root         DEBUG    edge_8_08_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192117-edge_8_08_01
2025-08-05 21:09:52,201 root         DEBUG    edge_24_01_01: Executing...
2025-08-05 21:09:52,203 root         DEBUG    edge_24_02_01: Executing...
2025-08-05 21:09:52,204 root         DEBUG    edge_24_03_01: Executing...
2025-08-05 21:09:52,208 root         DEBUG    edge_24_04_01: Executing...
2025-08-05 21:09:52,209 root         DEBUG    edge_8_09_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192121-edge_8_09_01
2025-08-05 21:09:52,209 root         DEBUG    edge_24_05_01: Executing...
2025-08-05 21:09:52,213 root         DEBUG    edge_24_06_01: Executing...
2025-08-05 21:09:52,215 root         DEBUG    edge_8_10_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192129-edge_8_10_01
2025-08-05 21:09:52,216 root         DEBUG    edge_24_07_01: Executing...
2025-08-05 21:09:52,218 root         DEBUG    edge_24_08_01: Executing...
2025-08-05 21:09:52,219 root         DEBUG    train_model: Status.RUNNING
2025-08-05 21:09:52,220 root         DEBUG    edge_24_09_01: Executing...
2025-08-05 21:09:52,222 root         DEBUG    edge_24_10_01: Executing...
2025-08-05 21:09:52,223 root         DEBUG    edge_8_11_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192141-edge_8_11_01
2025-08-05 21:09:52,225 root         DEBUG    edge_24_11_01: Executing...
2025-08-05 21:09:52,227 root         DEBUG    edge_27_01_01: Executing...
2025-08-05 21:09:52,232 root         DEBUG    edge_11_01_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192149-edge_11_01_01
2025-08-05 21:09:52,234 root         DEBUG    edge_27_02_01: Executing...
2025-08-05 21:09:52,235 root         DEBUG    edge_27_03_01: Executing...
2025-08-05 21:09:52,236 root         DEBUG    edge_27_04_01: Executing...
2025-08-05 21:09:52,236 root         DEBUG    edge_27_05_01: Executing...
2025-08-05 21:09:52,238 root         DEBUG    edge_27_06_01: Executing...
2025-08-05 21:09:52,239 root         DEBUG    edge_27_07_01: Executing...
2025-08-05 21:09:52,240 root         DEBUG    edge_27_08_01: Executing...
2025-08-05 21:09:52,240 root         DEBUG    edge_27_09_01: Executing...
2025-08-05 21:09:52,241 root         DEBUG    edge_27_10_01: Executing...
2025-08-05 21:09:52,243 root         DEBUG    edge_27_11_01: Executing...
2025-08-05 21:09:52,243 root         DEBUG    edge_11_02_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192162-edge_11_02_01
2025-08-05 21:09:52,245 root         DEBUG    edge_35_01_01: Executing...
2025-08-05 21:09:52,245 root         DEBUG    edge_35_02_01: Executing...
2025-08-05 21:09:52,247 root         DEBUG    edge_35_03_01: Executing...
2025-08-05 21:09:52,247 root         DEBUG    edge_35_04_01: Executing...
2025-08-05 21:09:52,248 root         DEBUG    edge_35_05_01: Executing...
2025-08-05 21:09:52,249 root         DEBUG    edge_35_06_01: Executing...
2025-08-05 21:09:52,251 root         DEBUG    edge_35_07_01: Executing...
2025-08-05 21:09:52,251 root         DEBUG    edge_35_08_01: Executing...
2025-08-05 21:09:52,253 root         DEBUG    edge_35_09_01: Executing...
2025-08-05 21:09:52,254 root         DEBUG    edge_11_03_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192170-edge_11_03_01
2025-08-05 21:09:52,254 root         DEBUG    edge_17_11_01: Executing...
2025-08-05 21:09:52,257 root         DEBUG    edge_35_11_01: Executing...
2025-08-05 21:09:52,258 root         DEBUG    edge_11_04_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192175-edge_11_04_01
2025-08-05 21:09:52,260 root         DEBUG    edge_36_01_01: Executing...
2025-08-05 21:09:52,261 root         DEBUG    edge_11_05_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192178-edge_11_05_01
2025-08-05 21:09:52,262 root         DEBUG    edge_36_02_01: Executing...
2025-08-05 21:09:52,263 root         DEBUG    edge_36_03_01: Executing...
2025-08-05 21:09:52,272 root         DEBUG    edge_11_06_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192181-edge_11_06_01
2025-08-05 21:09:52,273 root         DEBUG    edge_11_08_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192184-edge_11_08_01
2025-08-05 21:09:52,273 root         DEBUG    edge_36_04_01: Executing...
2025-08-05 21:09:52,275 root         DEBUG    edge_11_10_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192189-edge_11_10_01
2025-08-05 21:09:52,276 root         DEBUG    edge_11_07_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192182-edge_11_07_01
2025-08-05 21:09:52,278 root         DEBUG    edge_16_01_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192193-edge_16_01_01
2025-08-05 21:09:52,278 root         DEBUG    edge_36_05_01: Executing...
2025-08-05 21:09:52,279 root         DEBUG    edge_11_11_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192191-edge_11_11_01
2025-08-05 21:09:52,287 root         DEBUG    edge_36_06_01: Executing...
2025-08-05 21:09:52,296 root         DEBUG    edge_16_02_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192195-edge_16_02_01
2025-08-05 21:09:52,296 root         DEBUG    edge_16_04_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192199-edge_16_04_01
2025-08-05 21:09:52,297 root         DEBUG    edge_8_07_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192186-edge_8_07_01
2025-08-05 21:09:52,298 root         DEBUG    edge_16_05_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192202-edge_16_05_01
2025-08-05 21:09:52,299 root         DEBUG    edge_36_07_01: Executing...
2025-08-05 21:09:52,303 root         DEBUG    edge_16_03_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192196-edge_16_03_01
2025-08-05 21:09:52,307 root         DEBUG    edge_36_08_01: Executing...
2025-08-05 21:09:52,311 root         DEBUG    edge_36_09_01: Executing...
2025-08-05 21:09:52,312 root         DEBUG    edge_16_06_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192207-edge_16_06_01
2025-08-05 21:09:52,314 root         DEBUG    edge_36_10_01: Executing...
2025-08-05 21:09:52,316 root         DEBUG    edge_16_10_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192228-edge_16_10_01
2025-08-05 21:09:52,320 root         DEBUG    edge_36_11_01: Executing...
2025-08-05 21:09:52,320 root         DEBUG    edge_16_07_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192216-edge_16_07_01
2025-08-05 21:09:52,321 root         DEBUG    edge_16_08_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192219-edge_16_08_01
2025-08-05 21:09:52,330 root         DEBUG    edge_17_01_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192236-edge_17_01_01
2025-08-05 21:09:52,337 root         DEBUG    edge_16_09_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192223-edge_16_09_01
2025-08-05 21:09:52,338 root         DEBUG    edge_17_03_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192239-edge_17_03_01
2025-08-05 21:09:52,340 root         DEBUG    edge_16_11_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192233-edge_16_11_01
2025-08-05 21:09:52,342 root         DEBUG    edge_17_05_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192241-edge_17_05_01
2025-08-05 21:09:52,345 root         DEBUG    edge_17_09_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192250-edge_17_09_01
2025-08-05 21:09:52,357 root         DEBUG    edge_17_08_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192248-edge_17_08_01
2025-08-05 21:09:52,358 root         DEBUG    edge_17_06_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192244-edge_17_06_01
2025-08-05 21:09:52,360 root         DEBUG    edge_17_04_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192240-edge_17_04_01
2025-08-05 21:09:52,362 root         DEBUG    edge_17_10_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192252-edge_17_10_01
2025-08-05 21:09:52,364 root         DEBUG    edge_18_01_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192263-edge_18_01_01
2025-08-05 21:09:52,365 root         DEBUG    edge_17_02_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192238-edge_17_02_01
2025-08-05 21:09:52,370 root         DEBUG    edge_17_07_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192246-edge_17_07_01
2025-08-05 21:09:52,371 root         DEBUG    edge_35_10_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192256-edge_35_10_01
2025-08-05 21:09:52,374 root         DEBUG    edge_18_02_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192270-edge_18_02_01
2025-08-05 21:09:52,383 root         DEBUG    train_model: Executing...
2025-08-05 21:09:52,396 root         DEBUG    edge_18_05_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192310-edge_18_05_01
2025-08-05 21:09:52,400 root         DEBUG    edge_18_04_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192305-edge_18_04_01
2025-08-05 21:09:52,411 root         DEBUG    edge_18_03_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192293-edge_18_03_01
2025-08-05 21:09:52,429 root         DEBUG    edge_18_07_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192321-edge_18_07_01
2025-08-05 21:09:52,432 root         DEBUG    edge_18_09_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192325-edge_18_09_01
2025-08-05 21:09:52,439 root         DEBUG    edge_18_10_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192326-edge_18_10_01
2025-08-05 21:09:52,441 root         DEBUG    edge_18_08_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192322-edge_18_08_01
2025-08-05 21:09:52,446 root         DEBUG    edge_18_11_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192329-edge_18_11_01
2025-08-05 21:09:52,451 root         DEBUG    edge_18_06_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192317-edge_18_06_01
2025-08-05 21:09:52,452 root         DEBUG    edge_24_02_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192355-edge_24_02_01
2025-08-05 21:09:52,453 root         DEBUG    edge_24_01_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192349-edge_24_01_01
2025-08-05 21:09:52,471 root         DEBUG    edge_24_03_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192362-edge_24_03_01
2025-08-05 21:09:52,480 root         DEBUG    edge_24_04_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192366-edge_24_04_01
2025-08-05 21:09:52,487 root         DEBUG    edge_24_05_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192377-edge_24_05_01
2025-08-05 21:09:52,487 root         DEBUG    edge_24_08_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192382-edge_24_08_01
2025-08-05 21:09:52,489 root         DEBUG    edge_24_11_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192385-edge_24_11_01
2025-08-05 21:09:52,490 root         DEBUG    edge_27_01_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192386-edge_27_01_01
2025-08-05 21:09:52,491 root         DEBUG    edge_24_06_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192378-edge_24_06_01
2025-08-05 21:09:52,498 root         DEBUG    edge_24_07_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192380-edge_24_07_01
2025-08-05 21:09:52,499 root         DEBUG    edge_27_04_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192391-edge_27_04_01
2025-08-05 21:09:52,500 root         DEBUG    edge_27_03_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192390-edge_27_03_01
2025-08-05 21:09:52,506 root         DEBUG    edge_27_05_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192392-edge_27_05_01
2025-08-05 21:09:52,511 root         DEBUG    edge_24_10_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192384-edge_24_10_01
2025-08-05 21:09:52,529 root         DEBUG    edge_27_09_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192403-edge_27_09_01
2025-08-05 21:09:52,530 root         DEBUG    edge_24_09_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192383-edge_24_09_01
2025-08-05 21:09:52,530 root         DEBUG    edge_27_02_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192389-edge_27_02_01
2025-08-05 21:09:52,531 root         DEBUG    edge_27_10_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192406-edge_27_10_01
2025-08-05 21:09:52,533 root         DEBUG    edge_27_08_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192402-edge_27_08_01
2025-08-05 21:09:52,541 root         DEBUG    edge_35_01_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192417-edge_35_01_01
2025-08-05 21:09:52,543 root         DEBUG    edge_27_06_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192394-edge_27_06_01
2025-08-05 21:09:52,545 root         DEBUG    edge_27_07_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192399-edge_27_07_01
2025-08-05 21:09:52,546 root         DEBUG    edge_27_11_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192409-edge_27_11_01
2025-08-05 21:09:52,553 root         DEBUG    edge_35_02_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192424-edge_35_02_01
2025-08-05 21:09:52,562 root         DEBUG    edge_35_04_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192453-edge_35_04_01
2025-08-05 21:09:52,573 root         DEBUG    edge_35_06_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192459-edge_35_06_01
2025-08-05 21:09:52,577 root         DEBUG    edge_35_08_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192467-edge_35_08_01
2025-08-05 21:09:52,577 root         DEBUG    edge_35_07_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192465-edge_35_07_01
2025-08-05 21:09:52,581 root         DEBUG    edge_35_11_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192487-edge_35_11_01
2025-08-05 21:09:52,586 root         DEBUG    edge_35_05_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192454-edge_35_05_01
2025-08-05 21:09:52,592 root         DEBUG    edge_35_03_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192450-edge_35_03_01
2025-08-05 21:09:52,598 root         DEBUG    edge_35_09_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192473-edge_35_09_01
2025-08-05 21:09:52,600 root         DEBUG    edge_17_11_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192484-edge_17_11_01
2025-08-05 21:09:52,613 root         DEBUG    edge_36_01_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192496-edge_36_01_01
2025-08-05 21:09:52,622 root         DEBUG    edge_36_03_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192523-edge_36_03_01
2025-08-05 21:09:52,625 root         DEBUG    edge_36_02_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192509-edge_36_02_01
2025-08-05 21:09:52,645 root         DEBUG    edge_36_04_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192540-edge_36_04_01
2025-08-05 21:09:52,657 root         DEBUG    edge_36_05_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192550-edge_36_05_01
2025-08-05 21:09:52,666 root         DEBUG    edge_36_06_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192558-edge_36_06_01
2025-08-05 21:09:52,687 root         DEBUG    edge_36_07_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192592-edge_36_07_01
2025-08-05 21:09:52,706 root         DEBUG    edge_36_08_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192609-edge_36_08_01
2025-08-05 21:09:52,716 root         DEBUG    edge_36_10_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192620-edge_36_10_01
2025-08-05 21:09:52,718 root         DEBUG    edge_36_09_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192616-edge_36_09_01
2025-08-05 21:09:52,741 root         DEBUG    edge_36_11_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192629-edge_36_11_01
2025-08-05 21:09:53,013 root         DEBUG    train_model: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428192686-train_model
2025-08-05 21:09:57,101 root         DEBUG    edge_4_10_01 Completed in 4.059217691421509 seconds ---
2025-08-05 21:09:57,627 root         DEBUG    edge_11_02_01 Completed in 4.354201555252075 seconds ---
2025-08-05 21:09:58,008 root         DEBUG    edge_8_08_01 Completed in 4.541598320007324 seconds ---
2025-08-05 21:09:58,502 root         DEBUG    edge_24_11_01 Completed in 4.6936140060424805 seconds ---
2025-08-05 21:09:59,031 root         DEBUG    edge_18_03_01 Completed in 5.288906812667847 seconds ---
2025-08-05 21:09:59,037 root         DEBUG    edge_18_01_01 Completed in 5.45040488243103 seconds ---
2025-08-05 21:09:59,102 root         DEBUG    edge_4_10_01: Status.FINISHED
2025-08-05 21:09:59,578 root         DEBUG    edge_24_09_01 Completed in 5.608967304229736 seconds ---
2025-08-05 21:09:59,627 root         DEBUG    edge_11_02_01: Status.FINISHED
2025-08-05 21:09:59,746 root         DEBUG    edge_16_05_01 Completed in 6.115905046463013 seconds ---
2025-08-05 21:09:59,786 root         DEBUG    edge_18_07_01 Completed in 5.911851406097412 seconds ---
2025-08-05 21:09:59,796 root         DEBUG    edge_24_02_01 Completed in 5.988224029541016 seconds ---
2025-08-05 21:10:00,008 root         DEBUG    edge_8_08_01: Status.FINISHED
2025-08-05 21:10:00,228 root         DEBUG    edge_17_05_01 Completed in 6.546494245529175 seconds ---
2025-08-05 21:10:00,240 root         DEBUG    edge_27_01_01 Completed in 5.96612024307251 seconds ---
2025-08-05 21:10:00,502 root         DEBUG    edge_24_11_01: Status.FINISHED
2025-08-05 21:10:00,504 root         DEBUG    edge_35_09_01 Completed in 6.245762348175049 seconds ---
2025-08-05 21:10:00,995 root         DEBUG    edge_8_11_01 Completed in 6.567663192749023 seconds ---
2025-08-05 21:10:01,031 root         DEBUG    edge_18_03_01: Status.FINISHED
2025-08-05 21:10:01,038 root         DEBUG    edge_18_01_01: Status.FINISHED
2025-08-05 21:10:01,369 root         DEBUG    edge_17_01_01 Completed in 7.1070990562438965 seconds ---
2025-08-05 21:10:01,579 root         DEBUG    edge_24_09_01: Status.FINISHED
2025-08-05 21:10:01,602 root         DEBUG    edge_16_02_01 Completed in 8.148619651794434 seconds ---
2025-08-05 21:10:01,656 root         DEBUG    edge_18_08_01 Completed in 7.385088682174683 seconds ---
2025-08-05 21:10:01,747 root         DEBUG    edge_16_05_01: Status.FINISHED
2025-08-05 21:10:01,786 root         DEBUG    edge_18_07_01: Status.FINISHED
2025-08-05 21:10:01,796 root         DEBUG    edge_24_02_01: Status.FINISHED
2025-08-05 21:10:01,987 root         DEBUG    edge_8_05_01 Completed in 7.64681077003479 seconds ---
2025-08-05 21:10:02,228 root         DEBUG    edge_17_05_01: Status.FINISHED
2025-08-05 21:10:02,241 root         DEBUG    edge_27_01_01: Status.FINISHED
2025-08-05 21:10:02,316 root         DEBUG    edge_8_02_01 Completed in 9.242726802825928 seconds ---
2025-08-05 21:10:02,505 root         DEBUG    edge_35_09_01: Status.FINISHED
2025-08-05 21:10:02,995 root         DEBUG    edge_8_11_01: Status.FINISHED
2025-08-05 21:10:03,369 root         DEBUG    edge_17_01_01: Status.FINISHED
2025-08-05 21:10:03,603 root         DEBUG    edge_16_02_01: Status.FINISHED
2025-08-05 21:10:03,656 root         DEBUG    edge_18_08_01: Status.FINISHED
2025-08-05 21:10:03,987 root         DEBUG    edge_8_05_01: Status.FINISHED
2025-08-05 21:10:04,316 root         DEBUG    edge_8_02_01: Status.FINISHED
2025-08-05 21:10:05,135 root         DEBUG    edge_11_05_01 Completed in 11.683605432510376 seconds ---
2025-08-05 21:10:05,137 root         DEBUG    edge_17_08_01 Completed in 11.086154460906982 seconds ---
2025-08-05 21:10:05,139 root         DEBUG    edge_11_11_01 Completed in 9.966518640518188 seconds ---
2025-08-05 21:10:05,140 root         DEBUG    edge_8_10_01 Completed in 10.391967296600342 seconds ---
2025-08-05 21:10:05,141 root         DEBUG    edge_16_10_01 Completed in 10.390937566757202 seconds ---
2025-08-05 21:10:05,142 root         DEBUG    edge_18_04_01 Completed in 10.429497480392456 seconds ---
2025-08-05 21:10:05,147 root         DEBUG    edge_4_09_01 Completed in 11.96013617515564 seconds ---
2025-08-05 21:10:05,155 root         DEBUG    edge_17_09_01 Completed in 10.45958662033081 seconds ---
2025-08-05 21:10:05,156 root         DEBUG    edge_27_02_01 Completed in 9.700505495071411 seconds ---
2025-08-05 21:10:07,136 root         DEBUG    edge_11_05_01: Status.FINISHED
2025-08-05 21:10:07,137 root         DEBUG    edge_17_08_01: Status.FINISHED
2025-08-05 21:10:07,140 root         DEBUG    edge_11_11_01: Status.FINISHED
2025-08-05 21:10:07,141 root         DEBUG    edge_8_10_01: Status.FINISHED
2025-08-05 21:10:07,142 root         DEBUG    edge_16_10_01: Status.FINISHED
2025-08-05 21:10:07,143 root         DEBUG    edge_18_04_01: Status.FINISHED
2025-08-05 21:10:07,147 root         DEBUG    edge_4_09_01: Status.FINISHED
2025-08-05 21:10:07,155 root         DEBUG    edge_17_09_01: Status.FINISHED
2025-08-05 21:10:07,156 root         DEBUG    edge_27_02_01: Status.FINISHED
2025-08-05 21:10:10,204 root         DEBUG    edge_35_02_01 Completed in 14.595240116119385 seconds ---
2025-08-05 21:10:10,205 root         DEBUG    edge_4_11_01 Completed in 16.764801025390625 seconds ---
2025-08-05 21:10:10,207 root         DEBUG    edge_36_05_01 Completed in 14.371390581130981 seconds ---
2025-08-05 21:10:10,208 root         DEBUG    edge_4_01_01 Completed in 16.722638368606567 seconds ---
2025-08-05 21:10:10,211 root         DEBUG    edge_4_07_01 Completed in 17.150469303131104 seconds ---
2025-08-05 21:10:10,215 root         DEBUG    edge_4_03_01 Completed in 16.97856092453003 seconds ---
2025-08-05 21:10:10,216 root         DEBUG    edge_18_11_01 Completed in 13.901575326919556 seconds ---
2025-08-05 21:10:10,217 root         DEBUG    edge_11_01_01 Completed in 17.084661722183228 seconds ---
2025-08-05 21:10:10,218 root         DEBUG    edge_8_03_01 Completed in 16.848985195159912 seconds ---
2025-08-05 21:10:10,219 root         DEBUG    edge_36_08_01 Completed in 14.600038766860962 seconds ---
2025-08-05 21:10:10,221 root         DEBUG    edge_24_03_01 Completed in 14.406067132949829 seconds ---
2025-08-05 21:10:10,224 root         DEBUG    edge_4_05_01 Completed in 17.173706531524658 seconds ---
2025-08-05 21:10:10,226 root         DEBUG    edge_11_04_01 Completed in 15.203246831893921 seconds ---
2025-08-05 21:10:10,227 root         DEBUG    edge_8_04_01 Completed in 16.98121976852417 seconds ---
2025-08-05 21:10:10,229 root         DEBUG    edge_36_09_01 Completed in 13.845116138458252 seconds ---
2025-08-05 21:10:10,231 root         DEBUG    edge_35_04_01 Completed in 14.8412184715271 seconds ---
2025-08-05 21:10:10,231 root         DEBUG    edge_36_03_01 Completed in 13.884349346160889 seconds ---
2025-08-05 21:10:10,233 root         DEBUG    edge_36_01_01 Completed in 14.517671585083008 seconds ---
2025-08-05 21:10:10,234 root         DEBUG    edge_4_08_01 Completed in 17.14040517807007 seconds ---
